Stim_diff,responseError
-18.0,-15.0
-10.0,2.000236187115602
-5.0,-3.0000000000000946
20.0,27.0
-8.0,-27.287864033000567
-23.0,-7.997748329229672
21.0,-3.167039872762723
21.0,-8.000060500719531
22.0,-11.998320845788095
25.0,4.000057899009128
-24.0,2.0000000000000324
18.0,6.000704640150872
23.0,4.999999999999906
-20.0,-3.00000000000007
-23.0,-10.001860451848527
21.0,8.174496048679693
-19.0,2.000236187115602
24.0,32.997498327670115
-22.0,17.002251670770328
11.0,-16.99945572943632
15.0,-2.35740085332888
-4.0,-2.0
23.0,-7.000060500719531
20.0,12.0
-12.0,4.999045472582328
-24.0,2.9999999999998894
18.0,5.0
25.0,-2.999168874519314
23.0,-5.998320845788095
20.0,-23.0
23.0,-8.994511840547215
-16.0,11.000625528069603
23.0,-0.9980840832025756
14.0,2.0
-8.0,-39.99774832922967
11.0,-26.275203664686423
-10.0,29.0
15.0,-0.3775523160840408
-18.0,-20.0
-22.0,-3.0
22.0,-2.9999999999999685
-22.0,-2.0
15.0,14.64259914667112
-19.0,23.0
-23.0,-11.999999999999917
-16.0,2.0
-19.0,-4.0
15.0,-3.0
19.0,-13.997744762955785
25.0,-20.0
22.0,3.0015574185100404
-25.0,18.0
-17.0,-5.999763812884399
25.0,-1.0
-13.0,7.0
14.0,-11.99999999999998
19.0,-4.998795133805969
-20.0,4.999539000061305
21.0,12.000000000000032
9.0,-19.948021941765028
20.0,5.000704640150872
-11.0,-0.999374471930395
-14.0,-5.0
24.0,-1.9181943021324675e-55
19.0,-14.0
-24.0,-27.9997638128844
11.0,-31.0
-24.0,0.999999999999986
6.0,3.0
-14.0,19.995855822062826
-25.0,37.88443496334549
15.0,-19.99999999999994
18.0,1.0000000000000209
14.0,-2.999942100990872
20.0,3.000544270563681
14.0,40.000000000000085
-17.0,18.0
-4.0,-6.000000000000094
15.0,5.00054427056368
-7.0,12.0
-25.0,20.999045472582328
19.0,-27.998442581489883
-12.0,-12.99774832922967
-24.0,-7.0
11.0,-3.0
-25.0,-20.002929443040586
-14.0,-24.266437987178247
-11.0,-6.997748329229672
23.0,12.174496048679693
17.0,-3.9999999999999543
23.0,-2.9990214830245723
-24.0,7.997498327670115
23.0,-2.0025016723298847
24.0,13.001901535270209
18.0,11.72479633531358
15.0,3.0
13.0,-2.825503951320307
15.0,5.0
-15.0,-2.2959361313106017
-21.0,3.000625528069605
-24.0,44.0
-17.0,-3.0
13.0,7.62244768391596
22.0,37.000000000000085
-19.0,31.99999999999993
-5.0,9.999999999999906
2.0,2.5426198872686703
-19.0,-24.135327104792243
20.0,-7.999999999999937
-22.0,-39.002501672329885
11.0,-10.0
-23.0,-4.0
-18.0,4.000000000000024
16.0,19.724796335313577
23.0,-5.99999999999998
-13.0,-28.0
-18.0,2.0
-8.0,-31.0
-19.0,-13.000000000000108
-23.0,5.0
19.0,13.0
8.0,10.0
20.0,-3.0
15.0,-11.999942100990872
-19.0,27.0
-19.0,14.997498327670115
-14.0,24.0
-13.0,4.999999999999964
24.0,5.62244768391596
-20.0,-2.999999999999968
25.0,2.0000000000000204
-7.0,-7.999763812884399
9.0,2.0022552370442157
-13.0,-1.9997638128843984
3.0,-6.45738011273133
17.0,-25.0
-23.0,6.999999999999889
22.0,9.0
-13.0,-10.99774832922967
-17.0,6.641259749838975
15.0,8.000704640150872
-7.0,-10.999999999999968
-25.0,-14.000000000000018
11.0,9.002255237044215
-15.0,-26.999374471930395
-18.0,-2.845406129559388
-10.0,-35.00000000000004
25.0,-25.899497314275965
-4.0,17.0
24.0,22.0
-11.0,9.999999999999806
18.0,-5.999295359849131
17.0,-15.994511840547217
17.0,-12.825503951320307
17.0,-15.998320845788095
24.0,-12.0
19.0,5.100502685724035
-24.0,1.0
14.0,17.0
-2.0,11.000625528069603
8.0,-6.248495941742323e-125
21.0,5.0
-17.0,-1.9997638128843984
24.0,5.000831125480686
-17.0,0.9999999999998436
13.0,8.000000000000059
23.0,6.001679154211905
-12.0,-8.0
23.0,18.005488159452785
9.0,-1.9999999999999796
-16.0,-1.545928797376206
-8.0,1.000625528069605
9.0,2.0
-7.0,-7.997748329229672
17.0,-6.997744762955785
-23.0,-3.0025016723298847
10.0,-15.457380112731329
-24.0,-16.0
-19.0,1.0
22.0,-1.9984425814898832
6.0,1.6224476839159592
25.0,1.0000000000000455
23.0,11.051978058234972
-10.0,-8.99774832922967
24.0,12.9996653478771
-22.0,-2.001860451848528
19.0,-6.0
25.0,-6.999168874519386
21.0,-4.998442581489883
23.0,-4.999999999999915
-16.0,-0.9999999999999912
19.0,-5.999999999999973
12.0,4.0
-18.0,-2.135327104792243
-17.0,5.899310695887016e-126
25.0,17.997498327670115
-15.0,-7.0
-15.0,-9.0
-16.0,4.000625528069605
25.0,-1.999999999999928
-12.0,-1.0000000000001932
17.0,1.0015574185101168
16.0,1.0015574185100402
-3.0,-22.0
12.0,2.9974983276701157
25.0,-10.899497314275964
15.0,14.0
20.0,-16.99945572943632
19.0,-5.0
-11.0,-26.845406129559382
13.0,-7.999999999999937
16.0,8.542619887268671
19.0,-6.99844258148996
20.0,34.00120486619403
19.0,12.668454650272997
-20.0,-7.999763812884399
25.0,3.9999999999999054
11.0,-14.99929535984913
-17.0,-2.0
25.0,5.0
22.0,9.72479633531358
-12.0,-9.000000000000036
-19.0,21.0
-16.0,-8.999763812884398
15.0,9.0
9.0,-1.3574008533288795
13.0,-2.0
-4.0,-4.0
24.0,1.81821233243606
-10.0,-3.999999999999977
-25.0,9.000625528069605
-25.0,-4.999999999999928
-14.0,6.0
-24.0,10.999237294574542
5.0,0.9974983276701151
11.0,3.622447683915959
-17.0,-6.000954527417672
-24.0,-8.0
-20.0,2.0
25.0,-2.99999999999998
-8.0,6.864672895207757
16.0,4.001901535270207
-5.0,-5.999999999999976
20.0,4.0
-18.0,4.0
17.0,-1.9992953598491283
-14.0,5.000000000000033
22.0,8.0
-24.0,-18.002929443040582
14.0,14.00000000000006
4.0,-6.45738011273133
6.0,7.00000000000002
-23.0,-10.2959361313106
21.0,-3.9992953598491305
-16.0,-6.999999999999991
19.0,1.0
24.0,34.997498327670115
18.0,-9.99999999999998
25.0,-0.9999999999999686
-23.0,-9.002929443040582
-15.0,-8.0
25.0,3.000831125480686
21.0,-37.99844258148996
-14.0,-8.000000000000094
-11.0,-7.005119929189225
-18.0,16.712135966999433
-12.0,-41.99999999999992
7.0,-12.99999999999998
-7.0,7.0
-18.0,-39.0
22.0,-8.18178766756394
12.0,-27.999999999999936
-14.0,-6.000000000000156
8.0,-4.0
-7.0,-6.999374471930395
